원본,요약,카테고리,요약 재분류
다양한체험이 있었으면 좋겠어요.,- 대기줄이 너무 길어 행사 이용과 참여에 큰 불편을 느꼈음,행사장 편의시설,29
다음엔 날씨가 더 좋기를 기원합니다.,- 다양한 체험 프로그램이 부족하므로 참여자의 선택 폭을 넓힐 수 있도록 체험 종류를 확대할 필요가 있음,가족친화행사,30
대기줄 너무 길음.,- 드론처럼 질 높고 특색 있는 행사를 늘려 형식적이고 수준 낮은 예산 낭비성 행사는 지양해야 함,행사 평가,31
"드론 너무 좋은. 
그냥 행사 하지 말고 특별한 행사 원함. 질좋은 행사. 요즘 너무 시시한행사(예산낭비인듯) 많은. ",- 행사장 바닥에 짚(지푸라기)을 넉넉히 깔아 바닥 상태를 개선해 달라,행사장 편의시설,32
드론쇼&(추후)불꽃쇼 기대됩니다.,- 행사장 바닥이 지나치게 축축하고 물렁해 관람 및 이동이 불편했음,행사장 편의시설,33
땅바닥에 지푸라기(?) 같은거 많이 깔아주시면 좋겠네요.,- 다음 행사에서는 날씨 영향을 줄일 수 있도록 일정 조정이나 우천 대비 등 기후 대비책이 필요함,행사장 편의시설,34
땅이 너무 축축하고 물렁해요 ㅠ,- 전반적으로 이번 행사에 만족함,행사 평가,35
마실??만늘었으면 좋겠어,- 드론쇼와 추후 진행될 불꽃쇼 같은 화려한 야간 공연 도입을 기대함,축제 운영 개선,36
만족한다,- 음료·간식 같은 마실거리를 더 많이 배치해 먹거리 선택지를 늘려주었으면 좋겠음,가족친화행사,37
"먹거리 부스가 더 다양했으면 좋겠습니다.
레트로 게임 코너 같은 프로그램은 더 확충해도 좋을것 같습니다.
홍보를 더 과감하게 해도 좋겠습니다.
지역 대표 먹거리 선산곱창, 금오산 막걸리, 선산 주조 ???과의 연계 푸드코너를 마련해도 좋겠습니다.
방림 공장 내 빈부지를 최대한 더 활용해도 좋을것 같습니다.",- 먹거리뿐 아니라 다양한 음료 판매를 도입해 먹거리 선택의 폭을 넓혀야 함,가족친화행사,38
"먹거리 뿐만이 아닌 마실걸 팔았으면 좋겠으며,
좀 더 다양했으면 좋겠다.",- 먹거리 부스 다양화와 함께 선산곱창·금오산 막걸리 등 지역 대표 먹거리와 연계한 푸드코너를 마련해야 함,가족친화행사,39
먹거리 종류가 많이 없어서 아쉽네요,- 먹거리·쇼핑·전시가 골고루 구성되어 볼거리와 즐길거리가 다양했음,가족친화행사,40
"먹거리, 쇼핑, 전시",- 먹거리가 다양하지 않아 음식 종류를 늘려 선택의 폭을 넓혀주었으면 좋겠다,가족친화행사,41
"먹거리/볼거리/개선되어야함.
중간행사가 부족하다.",- 먹거리 종류가 적어 선택 폭이 부족했으므로 음식 종류를 다양화할 필요가 있음,가족친화행사,42
"먹거리가 더 다양했으면 좋겠어요!
구미에서 이런 행사가 열려서 너무 좋아요.
더 잘 돼서 더 많은 가수를 부를 수 있었으면 좋겠습니다~",- 행사에 대해 좋았던 점·불편했던 점·개선점 등 구체적인 의견을 제시하지 않아 평가할 수 없음,행사 평가,43
모름,- 중간에 진행되는 공연·프로그램이 부족해 관람·체험 요소(먹거리·볼거리 등)를 보강할 필요가 있음,축제 운영 개선,44
"물이 없다. (수도물)
커피가 없다. (6000원 비싸다)
먹거리가 약하다.
체험 예약제가 좋으나 너무 일찍 마감되어 불편하다.",- 미디어아트 전시와 연출을 보강해 행사 콘텐츠를 강화하고 볼거리를 늘릴 필요가 있음,행사 평가,45
"미디어아트 보강, 축제아이템 다양화",- 가족과 아이들이 긴 대기 없이 즐길 수 있도록 체험부스를 확대하고 운영을 개선해 축제의 참여도를 높여야 함,가족친화행사,46
"미디어아트의 다양화나 볼거리가 좀 더 늘었으면 좋겠고
가족들과 아이들이 함께 대기시간이 길지 않게
체험할 수 있는 체험부스가 늘어난다면 좀 더 즐길 수 있는 축제로 발전할 것입니다.",- 먹거리·음료 제공이 부족하고 품목도 적으며 가격이 높아(물·커피 부재 포함) 관람 중 불편했다,행사장 편의시설,47
바닥 좀 신경써주히소.,- 바닥의 흙으로 보행이 불편했으니 매트 등을 더 깔아 보행 환경을 개선해야 함,행사장 편의시설,48
"바닥에 흙때문에 보행이 조금 불편했다.
매트를 많이 깔아주면 좋겠다.",- 행사장 바닥 관리를 강화해 청결과 안전을 개선해야 함,행사장 편의시설,49
번호표(대기표) 뽑는 시스템이 있으면 좋겠습니다. 대기줄 X,- 볼거리와 프로그램 준비가 부족해 전반적인 행사 퀄리티가 낮아 불만이었다.,축제 운영 개선,50
"볼거리, 먹을거리 다양화",- 다양한 연령층과 취향을 고려해 볼거리와 먹거리의 종류를 확대해 방문객 선택 폭을 넓혀야 함,가족친화행사,51
"볼거리가 너무없다.
준비가 잘 안 된듯 하다.
퀄리티 너무 떨어짐.",- 대기줄을 없애기 위해 번호표(대기표) 발권 시스템을 도입해 순번대로 대기할 수 있게 해야 함,행사장 편의시설,52
볼거리가 더 있으면 좋겠습니다.,- 비로 인해 행사장 바닥이 질퍽해 관람 및 이동이 불편했음,행사장 편의시설,53
비 때매 바닥이 질퍽한 점,- 비가 와서 행사장 바닥이 축축해 아이를 동반한 관람과 이동이 불편했다,행사장 편의시설,54
"비가 온 뒤라 땅이 축축했다.
이용이 불편함. (아이동반)",- 볼거리가 부족하므로 전시·체험 등 볼거리와 프로그램을 더 다양하게 확대할 필요가 있음,가족친화행사,55
비가 와서 의자관람이 불편했지만 프로그램은 편했습니다,- 비가 와서 좌석 관람이 불편했으나 행사 프로그램 자체는 만족스러웠음,축제 운영 개선,56
"비가 와서 조금 아쉬웠습니다.
하지만 전반적으로 좋았습니다.",- 비가 와서 일부 아쉬움은 있었지만 전반적으로 행사에 만족했다.,행사 평가,57
비가와서 실내가 많았으면..,- 비가 올 경우를 대비해 실내 부스·프로그램과 관람 공간을 더 늘려 달라,축제 운영 개선,58
"비가와서 힘들어요 ㅠ
비 피할 수 있는 천막이 필요해요 ㅠ",- 우천 대비가 부족해 관람·참여 중 비를 피할 수 있는 천막이나 쉼터 등 비상대책을 마련할 필요가 있음,축제 운영 개선,59
비예보가 있는데 관객들에게 줄 비옷하나 주지 않고 안전요원들이 인상을 너무 쓰고 있어 무서웠다.,- 비가 온 뒤 축제장 바닥이 젖고 미끄러워 관람과 이동이 불편했음,행사장 편의시설,60
비오는거 고려 부탁,- 우천에 대비해 우산·임시 대기 공간·우천 안내 등 비오는 날을 고려한 대비책을 마련해 달라,행사장 편의시설,61
비온 뒤 바닥 불편,- 비가 올 경우를 대비해 먹거리 테이블 배치와 정리·비가림 등 운영 준비를 강화해야 함,행사장 편의시설,62
비온 뒤 바닥 불편,- 비가 온 뒤 바닥이 젖고 미끄러워 이동과 관람이 불편했음,행사장 편의시설,63
비올수 있는 걸 대비해서 먹거리 테이블이 잘 정리되었으면 좋겠다,- 비가 올 때 앉아 쉴 수 있는 좌석이나 비를 피할 수 있는 휴식 공간이 부족해 불편했다,행사장 편의시설,64
비와서ㅠㅠ 앉을곳 없음,- 우천 예보가 있었음에도 관객에게 우비를 제공하지 않아 비에 대비한 준비가 부족했다,축제 운영 개선,65
"사전 주차 시설 공지, 길거리 휴지통 설치",- 행사 시설 인프라의 접근성과 편의성을 개선해 관람·이용이 더 편리하도록 해야 함,행사 평가,66
"셔틀버스 탑승위치?? 홍보 목록.
주차장 안내 목록",- 참가자들이 편리하게 주차할 수 있도록 행사 전 주차 위치와 이용방법을 사전 안내해야 함,교통편의,67
셔틀시간 많이 늘려주세요.,- 셔틀버스 탑승 위치와 주차장 안내를 사전에 명확히 홍보·표시해 관람객 이동 편의를 개선할 필요가 있음,교통편의,68
"속빈강정.
자원봉사자 및 진행요원 행사 인지 부족.
게임기 개수 부족, 대기시간 너무 김.
물푼보관함 없음.
체험개수 부족.",- 셔틀 운행 시간을 크게 연장해 행사 전후 이동 편의를 개선해야 함,행사장 편의시설,69
솜사탕 먹을 수 있는 부스가 있으면 좋겠어요 :),- 행사에 솜사탕을 먹을 수 있는 판매·체험 부스를 마련해 달라,가족친화행사,70
순서 기다리는 것에 대한 안내 필요,- 대기 중인 방문객들이 자신의 순서와 예상 대기 시간을 알 수 있도록 표지판·안내요원·번호표 등 명확한 대기 안내를 마련해 달라.,행사장 편의시설,71
시설 인프라를 좀 더 편리하게 하셔야겠습니다.,- 체험 및 게임 기기 수가 부족해 참가자 대기 시간이 길고 체험 기회가 제한되었음,행사장 편의시설,72
실내 프로그램 개설 증진 부탁드립니다.,- 다음 행사에서는 관객 유치를 위해 아이돌 초대 가수를 초청한 공연 프로그램을 마련해 달라,축제 운영 개선,73
"아기들 있는데 드론 축제 때 담배 피우는 사람 있었음.
체험할 곳 더 많았으면 합니다.
VR체험 한 대 더 있었으면.",- 실내 프로그램을 확대해 참가자들이 실내에서 편하게 참여할 수 있는 기회를 늘려 달라,축제 운영 개선,74
아이돌 초대가수 초청해주세요,- 어린이들이 즐길 수 있는 체험·놀이 프로그램이 전혀 없어 가족 단위 방문 시 참여와 만족도가 떨어졌음,가족친화행사,75
아이들 놀거리 없음,- 아이들이 참여할 수 있는 체험 프로그램 종류를 더 다양하게 확대할 필요가 있음,가족친화행사,76
"아이들 참여 놀이가 더 많았으면 좋겠어요.
앉아서 쉴 곳도 더 있으면 좋겠어요.",- 행사장에서 일부 관람객의 흡연으로 아기 등 어린이 동반 관람객의 안전과 쾌적성이 저해되었음,행사 평가,77
아이들 체험이 더 다양했으면,- 아이들을 위한 무료 체험 프로그램의 종류를 다양하게 확대할 필요가 있음,가족친화행사,78
"아이들과 체험 행사가 많이 있음 좋겠다.
먹거리가 저렴하면 더 좋을거 같다.
기념품 증정이 있음 좋겠다.",- 아이들이 직접 참여할 수 있는 체험형 부스와 프로그램을 확대할 필요가 있음,가족친화행사,76
아이들의 무료 체험이 다양했으면 합니다.,- 미취학 아동이 참여할 수 있는 체험 프로그램을 더 많이 마련해 달라,가족친화행사,79
아이들이 참여할 수 있는 부스체험이 많았으면 좋겠습니다.,- 아이들이 참여할 수 있는 놀이형 프로그램을 더 많이 마련할 필요가 있음,가족친화행사,80
아이들이(미취학) 참여할 수 있는 프로그램이 많았으면 좋겠어요.,- 가족 단위 참여를 위해 아이들과 함께할 수 있는 체험 행사를 더 많이 마련할 필요가 있음,가족친화행사,81
아직 뭔가 부조화 된 느낌입니다.,- 어린이들이 안전하게 이용할 수 있는 놀이·휴식 등 전용 공간을 더 확충해 달라,가족친화행사,82
안내표(?)가 너무 복잡해서 한눈에 안들어옴,- 안내표지가 복잡해 한눈에 파악되지 않아 이동과 관람에 불편하므로 안내판 디자인과 표기 방식을 더 직관적이고 단순하게 개선할 필요가 있음,행사장 편의시설,83
애들을 위한 공간이 더 마련되길 바래요,- 아이들이 즐길 거리가 부족해 가족 단위 관람객을 위한 체험·놀이 프로그램을 확대할 필요가 있음,가족친화행사,84
예약제가 아닌 선착순 참여로 진행되었으면함. 아이들이 즐길거리가 부족함,- 프로그램과 연출 등 행사 전반의 구성에 조화가 부족해 전체적으로 통일감이 없고 어수선한 인상을 줌,축제 운영 개선,85
"예약제인 경우 전달이 되지 않아 줄을 서서 긴 시간 기다렸으나, 예약하지 않아 이용이 불가능하였다. 
안내가 필요하다.",- 우천 시 관람객을 위해 상세 안내와 우비 배포·우산 대여 등 실질적인 비상 대비책을 제공해야 함,행사장 편의시설,86
우천 시 피할 곳이 부족,- 우천 시 관람객이 비를 피할 수 있는 충분한 대피 공간이나 실내 시설이 부족했음,행사장 편의시설,87
"우천대비 우비제공,
휴식공간 추가필요",- 사전 예약제 여부와 예약 방법이 명확히 안내되지 않아 줄을 서서 기다렸다가 이용하지 못하는 문제가 발생하므로 명확한 사전 안내가 필요함,행사장 편의시설,88
"우천시 관람객 안내 혹은 우비 나눔, 우산대여",- 우천 발생 시 관람·진행을 위한 야외 시설 보완과 대체 일정·안내 등 대비책을 보다 철저히 마련해 달라,행사장 편의시설,89
우천시 대비가 좀 더 되었으면 좋겠음. ,- 우천 시 관람·보행에 불편이 없도록 바닥의 물기를 제거하거나 방지할 수 있는 시설을 추가해야 함,행사장 편의시설,90
우천시 바닥 물기 없도록 시설 추가 요망,- 비가 올 경우를 대비해 참가자에게 우비를 제공하는 등 우천 대비책이 필요함,행사장 편의시설,91
"우천시 비올때를 대비해 프로그램 개설과 
예약프로그램이 없어지면 좋겠다.",- 먹거리 종류와 판매처가 부족하니 음식 선택 폭을 넓혀 제공해 달라,가족친화행사,92
"우천시에 대응이 조금 더 원활했으면 좋았을 것 같다.
시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다.",- 우천 시 진행요원들의 대응과 운영 방식을 개선해 비가 와도 행사가 원활히 진행되도록 해야 함,축제 운영 개선,93
위치 주차시설,- 행사 위치와 주차시설이 불편해 접근성이 떨어지므로 개선이 필요함,교통편의,11
음료푸드트럭도 같이 있었으면 좋겠다. 체험 및 기타 즐길거리가 더 다양했으면 좋겠다,- 행사장에 의무실과 수유실 등 기본적인 편의시설이 반드시 마련되어야 함,행사장 편의시설,94
음식이 더 많으면 좋겠다,- 관람객이 쉴 수 있도록 행사장 내 좌석 수를 늘려 쉴 공간을 충분히 확보해야 함,행사장 편의시설,95
"의무실, 수유실 필요합니다.",- 체험 프로그램과 기타 즐길거리가 부족해 음식·음료 푸드트럭을 포함한 다양하고 풍성한 프로그램 확대가 필요함,가족친화행사,96
"이번에는 추석연휴에 행사를 했는데, 토요일, 일요일 해도 좋을듯하다.
체험하는데 오랜시간을 기다려야 했다.
제6링고??의 한자 과학 체험이 제일 좋았다.
자기가 득점한 점수도 볼 수 있고 간만에 도파민이 셈 솟았다.",- 작년보다 전반적으로 개선되어 만족스러웠음,축제 운영 개선,97
자리가 더 많음 좋겠습니다,- 체험 프로그램 이용 시 대기 시간이 길어 불편했으므로 대기 시간 단축(프로그램 확대·운영 효율화 등) 방안이 필요함,행사장 편의시설,98
"자세한 안내문 필요.
다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.",- 우천 시를 대비해 실내 또는 비상용 프로그램을 마련하고 예약제를 없애 누구나 쉽게 참여할 수 있도록 접근성을 개선해야 함,축제 운영 개선,99
작년 대비 좋아졌어요.,- 먹거리 종류와 품질이 아쉬워 참가자들이 만족할 수 있도록 먹거리 부문을 다양화·개선할 필요가 있음,가족친화행사,100
장소가 좀 더 넓고 교통편이 편한곳이면 좋겠어요.,- 행사 장소를 더 넓고 대중교통 등 교통편이 편리한 곳으로 변경해 접근성과 편의성을 개선해야 함,행사장 편의시설,101
"장소를 더 잘 꾸며주세요.
먹거리 부문이 좀 아쉬워요.",- 다양한 체험이나 가수 초청보다 예술공연의 비중을 늘려 문화예술 중심으로 프로그램을 구성했으면 좋겠다,축제 운영 개선,102
"장소협소하고
프로그램 예약이 시간이 짧아요 (너무 어렵다)",- 장애인을 위한 접근성이 부족해 장애인이 행사에 참여하고 활동하기 어려웠음,행사 평가,103
접근성 및 장애인 활동 어려움,- 프로그램 예약 시간이 너무 짧아 신청 및 참여가 어렵고 불편했다,축제 운영 개선,104
조금 더 다양하고 저렴한 푸드,- 행사에 다양한 즐길거리와 행사 주제에 잘 맞는 전시를 더 늘려 프로그램을 풍성하게 해주었으면 좋겠습니다.,행사 평가,105
"조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.
파이팅!",- 행사 공간이 협소해 불편했으니 다음에는 더 넓은 장소에서 개최할 필요가 있음,행사장 편의시설,106
조금 더 다양했으면,- 행사 프로그램과 볼거리·체험 등이 현재보다 더 다양했으면 좋겠다,가족친화행사,107
조금만 더 다양해지면 좋을 것 같습니다,- 먹거리 종류를 더 다양화하고 가격을 낮춰 이용 부담을 줄여야 함,가족친화행사,108
좀 더 넓은 장소에서 했으면 함.,- 행사 인지도와 참여율을 높이기 위해 보다 적극적이고 다양한 홍보가 필요함,행사 평가,109
좀 더 아이들이 참여할 수 있는 행사 요청,- 아이들이 직접 참여할 수 있는 체험형 프로그램과 가족 참여 활동을 확대할 필요가 있음,가족친화행사,110
좀 더 적극적인 홍보가 필요합니다.,- 행사 프로그램과 볼거리가 부족해 더 다양한 콘텐츠로 구성될 필요가 있음,가족친화행사,111
좀 더 체험이 다양하면 좋겠습니다,- 체험 프로그램이 부족하므로 다양한 체험 활동을 추가해 참여자의 선택권과 만족도를 높여야 함,가족친화행사,30
좋았어요♥,- 전반적으로 만족스러운 행사였음,행사 평가,112
좋은 축제 감사합니다.,- 전반적으로 만족스러운 행사였음,행사 평가,112
"주차 문제, 쉴 공간",- 주차 공간이 부족해 행사 방문과 이동이 불편했음,교통편의,113
주차(임산부라 멀리 주차해서 힘들었음),- 주차 공간 및 주차 안내요원 운영이 미흡해 주차에 불편이 있었으므로 개선이 필요함,교통편의,114
"주차, 주차안내요원",- 주차 공간이 부족하거나 불편해 행사 접근성을 높이기 위해 주차시설 확충 및 안내 개선이 필요함,교통편의,115
주차공간,- 주차 공간이 부족해 방문객의 접근성과 행사 이용에 불편이 컸음,교통편의,113
주차공간,- 행사장 방문객을 위해 충분한 주차공간을 마련할 필요가 있음,교통편의,116
주차공간 미흡,- 주차가 불편해 행사 이용 접근성이 떨어지고 불편함이 있었음,교통편의,117
주차공간 확보,- 주차 공간이 부족해 관람객 편의를 위해 주차장 추가 마련 및 주차 안내 개선이 필요함,교통편의,115
주차공간마련,- 주차시설이 부족하므로 참가자들이 불편하지 않도록 주차 공간 확대나 주차 대책을 마련할 필요가 있음,교통편의,118
주차불편,- 주차 공간이 부족해 행사 이용에 불편이 있었으므로 주차 대책(확대 또는 안내 개선)이 필요함,교통편의,119
주차시설,- 행사장 주차 공간이 부족해 방문객들의 주차와 접근이 불편했으므로 주차 확대나 대중교통 유도 등 개선이 필요함,교통편의,120
주차시설 부족,- 주차장 안내가 부족해 방문객들이 주차 위치와 이용 방법을 쉽게 파악하지 못함,교통편의,121
주차시설 확보,- 주차장 시설 및 운영에 대한 개선이 필요함,교통편의,122
주차안내 및 주변 공장과의 협의,- 주차시설이 부족해 차량 이용 관람객들이 행사 방문과 이동에 큰 불편을 겪었음,교통편의,113
주차자리부족,- 주차장 시설과 안내 등 주차 관련 사항의 개선이 필요함,교통편의,122
주차장,- 임산부 등 이동 약자를 배려한 근접·우선 주차 공간이 없어 주차 접근성이 떨어지고 불편했음,교통편의,123
주차장,- 주차시설 부족 및 접근성 문제로 행사 이용에 불편이 있었으므로 주차 공간 확충과 안내·동선 개선이 필요함,교통편의,115
주차장 안내 미흡,- 주차장 안내가 부족해 주차 위치와 출입 경로 파악이 어려워 불편했음,교통편의,124
주차장 안내 미흡,- 행사장 주차 공간이 부족하니 방문객 편의를 위해 주차장 확보가 필요함,교통편의,125
"주차장 안내가 부족했음.
없으면 안내라도 미리 고지했으면 좋겠음.",- 주차장 안내가 부족해 주차 가능 여부와 대체 주차장·이용 방법을 사전에 명확히 고지해 주었으면 함,교통편의,126
주차장 확보,- 행사 방문객을 위해 충분한 주차 공간을 사전에 확보해야 함,교통편의,116
주차장 확보 했으면 합니다.,- 주차 공간이 부족해 참가자 편의를 위해 주차장을 확대하거나 추가 주차 대책을 마련해 달라,교통편의,118
주차장을 더 많이 해주셨음 좋겠습니다.,- 행사장에 주차시설이 없어 차량 이용 방문객들이 주차에 큰 불편을 겪었음,교통편의,127
주차장을 많이 넓혀주셨음 좋겠어요,- 주차장이 불편해 행사 방문과 이용에 어려움이 있었음,교통편의,117
주차장이 불편해요.,- 주차 공간이 부족해 관람객들이 큰 불편을 겪으니 행사 차원의 주차장 확보가 시급함,교통편의,128
주차장이 없어서 주차하는데 불편함을 겪었다.,- 주차 공간이 부족하니 관람객 편의를 위해 주차장을 크게 확충할 필요가 있음,교통편의,129
줄서기 시간이 다소 김,- 줄서기 시간이 다소 길어 이용에 불편함이 있었으므로 대기 시간 단축 방안이 필요함,행사장 편의시설,130
줄서는 대기시간이 오래걸림. 주차장 확보 시급.,- 행사장 바닥이 진흙투성이여서 이동이 불편하고 신발·옷이 훼손되어 관람에 지장이 있었음,행사장 편의시설,131
지속적으로,- 행사를 정기적으로 지속 개최해 참여 기회를 꾸준히 제공해 달라,행사 평가,132
"진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)",- 차량 방문객의 편의를 위해 주차장을 확충해 주차난을 해소해 주세요.,교통편의,133
차량 이동 관련 주차장을 더 만들어 주세요.,- 체험 기회가 부족하니 관람객 참여를 늘리기 위해 체험 부스를 확대해야 함,가족친화행사,134
체험 놀이를 더 보충해주세요.,- 체험 놀이 프로그램을 보강해 참여 기회를 늘리고 다양한 체험을 제공해 달라.,가족친화행사,135
체험 부스 다양화. 눈으로도 응원합니다 ^^,- 체험부스가 부족해 참여 기회가 제한되었으니 체험 부스 수를 늘려야 함,가족친화행사,136
체험 행사 및 먹거리가 좀 더 늘었으면 좋겠어요,- 체험부스를 현재보다 넓게 확대해 운영해 대기와 이용이 편리하도록 개선할 필요가 있음,행사장 편의시설,137
체험부스가 더 많았으면 좋겠음.,- 주차 안내 체계가 미흡해 혼란이 발생했으므로 명확한 주차 안내와 관리 방안이 필요함,교통편의,138
체험부스가 더 있었으면 좋겠다.,- 체험 행사와 먹거리 종류를 늘려 참여 기회와 선택 폭을 확대할 필요가 있음,가족친화행사,139
"체험부스당 인원수가 매우 부족하다 느낌.
13시 30분에 왔는데도 2부(17:00) 이후부터 예약이 가능하다 하여 체험할 수 없어 아쉬웠음.",- 체험 부스를 다양화해 관람객의 참여 기회를 늘리고 볼거리·즐길거리를 확대해야 함,가족친화행사,140
체험부스를 더 크게 만들어 줬으면 합니다.,- 체험 프로그램이 부족하니 다양한 체험 프로그램을 더 마련해 참여 기회를 확대해야 함,가족친화행사,141
체험프로그램의 다양성,- 체험 프로그램의 종류와 수를 늘려 다양한 참여 기회를 제공해야 함,가족친화행사,141
체험프로그램이 더 생겼으면 좋겠음,- 체험 부스의 수용 인원과 회차가 부족해 예약이 빨리 마감되어 제때 체험에 참여하지 못했다,행사장 편의시설,142
체험프로그램이 조금 더 다양하게 많았으면 좋겠어요,- 축제의 참여율과 인지도를 높이기 위해 홍보를 강화해야 한다,행사 평가,143
축제 홍보가 더 필요할 것 같다,- 체험 프로그램의 다양성이 부족하니 참여자층과 만족도를 높이기 위해 더 다양한 체험 프로그램으로 확대할 필요가 있음,가족친화행사,141
"축제는 아이들이 즐길거리가 많아야 흥합니다.
컨셉이 애매해요. 응원함.
큰 투자는 많아보이는데 컨텐츠가 적어요.",- 행사 취지는 좋지만 프로그램 구성과 운영 면에서 전반적인 보완과 개선이 필요하다.,행사 평가,144
