원본,요약,카테고리
"구미에는 자녀동반 가족이 많은데 
그에비해 체험프로그램 부족.",- 구미는 자녀 동반 가족이 많은데 비해 어린이·가족 대상 체험 프로그램이 부족하므로 체험 프로그램을 확대해야 함,가족체험프로그램
기상악화시 대비 필요해보임 (당일 비로 인해 매우 불편),- 기상 악화(우천)에 대한 대비가 부족해 비로 인해 관람·이용에 큰 불편이 있었으니 우천 대책과 시설 보강이 필요함,행사운영개선
날씨(우천시) 대비 실내프로그램 좀 더 많았으면 좋겠습니다.,- 비가 올 경우를 대비해 실내에서 즐길 수 있는 프로그램을 더 늘려야 한다.,행사운영개선
"날씨에 대한, 또는 주차 및 ??? 자세한 안내가 필요.",- 행사 참여를 위한 날씨 대비와 주차 등 세부 안내를 사전에 더 명확히 제공할 필요가 있음,주차·교통불편
남녀노소 같이 즐길수 있는 즐길거리를 좀 만드셨으면 좋겠습니다.,- 남녀노소 누구나 함께 즐길 수 있는 프로그램과 즐길거리를 더 다양하게 마련해 달라,행사운영개선
너무 좋았음,- 행사에 대해 전반적으로 매우 만족했음,행사경험
너무좋아요,- 전반적으로 매우 만족스러운 행사였음,행사경험
"노면이 좋지 않아 장애인 휠체어 불편함.
화장실은 만족.",- 행사장 노면 상태가 좋지 않아 장애인 휠체어 이용이 불편하므로 접근성(바닥 정비 등) 개선이 필요함,행사경험
놀이 시설이 조금 더 있으면 좋겠다.,- 어린이·참여자를 위한 놀이 시설이 부족하니 추가 설치로 즐길거리 확대가 필요함,행사운영개선
다른 폐공장을 적극적으로 활용,- 다른 폐공장을 적극적으로 활용해 행사 장소를 다양화하고 특색 있는 연출을 강화하라,행사운영개선
다양한 참여 프로그램이 있으면 좋을거 같아요.,- 관객이 직접 참여할 수 있는 다양한 참여 프로그램을 확대해 체험 기회를 늘릴 필요가 있음,가족체험프로그램
다양한 체험 거리가 있었으면 좋겠습니다.,- 다양한 체험 프로그램을 늘려 참가자가 선택할 수 있는 활동 범위를 확대했으면 합니다.,가족체험프로그램
다양한 체험부스가 더 생겼으면 합니다. 어린아이들과 함께 할 수 있는…,- 어린아이와 함께 즐길 수 있도록 다양한 체험부스를 늘려 가족 단위 참여 기회를 확대해 달라,가족체험프로그램
다양한 체험부스가 많았음 좋겠습니다.,- 다양한 주제와 연령대를 아우르는 체험부스를 더 늘려 행사 체험 기회를 확대해 달라,가족체험프로그램
다양한 프로그램 운행 했음,- 다양한 프로그램이 운영되어 방문객들이 참여할 기회와 볼거리가 풍부했음,행사운영개선
"다양한 프로그램이 부족하다.
식사, 여흥 등",- 식사와 여흥 등 다양한 프로그램이 부족해 방문객들이 즐길거리와 선택의 폭이 좁았음,행사운영개선
다양한체험이 있었으면 좋겠어요.,- 다양한 체험 프로그램을 확대해 참가자가 선택할 수 있는 활동을 늘려달라.,가족체험프로그램
다음엔 날씨가 더 좋기를 기원합니다.,- 다음 행사에는 날씨가 좋아 관람·참여 환경이 쾌적했으면 좋겠음,행사경험
대기줄 너무 길음.,- 대기 줄이 너무 길어 대기 시간이 과도하므로 대기 관리 및 인원 분산 대책이 필요함,행사운영관리
"드론 너무 좋은. 
그냥 행사 하지 말고 특별한 행사 원함. 질좋은 행사. 요즘 너무 시시한행사(예산낭비인듯) 많은. ",- 드론처럼 차별화된 고품질 행사를 더 늘려 형식적이고 질 낮은 행사를 줄이고 실속 있는 행사를 개최하길 원함,행사운영개선
드론쇼&(추후)불꽃쇼 기대됩니다.,- 드론쇼와 추후 예정된 불꽃쇼 같은 야외 공연 프로그램이 행사에 포함되어 진행되기를 기대한다.,행사운영개선
땅바닥에 지푸라기(?) 같은거 많이 깔아주시면 좋겠네요.,- 행사장 바닥에 지푸라기(짚) 같은 깔개를 더 많이 깔아 달라,행사운영개선
땅이 너무 축축하고 물렁해요 ㅠ,- 행사장 바닥이 매우 축축하고 물렁해 이동과 활동이 불편했다,행사경험
마실??만늘었으면 좋겠어,- 행사에 음료 등 마실거리 판매 부스가 더 많이 늘어나면 좋겠음,행사운영개선
만족한다,- 전반적인 행사 구성과 운영에 만족하여 긍정적인 경험을 했음,행사경험
"먹거리 부스가 더 다양했으면 좋겠습니다.
레트로 게임 코너 같은 프로그램은 더 확충해도 좋을것 같습니다.
홍보를 더 과감하게 해도 좋겠습니다.
지역 대표 먹거리 선산곱창, 금오산 막걸리, 선산 주조 ???과의 연계 푸드코너를 마련해도 좋겠습니다.
방림 공장 내 빈부지를 최대한 더 활용해도 좋을것 같습니다.",- 먹거리 부스를 다양화하고 선산곱창·금오산 막걸리 등 지역 특산품과 연계한 푸드코너를 마련해 축제의 볼거리와 지역성 강화 필요,행사운영개선
"먹거리 뿐만이 아닌 마실걸 팔았으면 좋겠으며,
좀 더 다양했으면 좋겠다.",- 먹거리뿐만 아니라 다양한 마실거리도 판매를 확대해 선택의 폭을 넓혀야 함.,행사운영개선
먹거리 종류가 많이 없어서 아쉽네요,- 먹거리 종류가 많지 않아 선택의 폭이 좁고 만족도가 떨어져 아쉬웠음,행사운영개선
"먹거리, 쇼핑, 전시",- 먹거리가 다양하고 만족스러웠음,행사운영개선
"먹거리/볼거리/개선되어야함.
중간행사가 부족하다.",- 먹거리와 볼거리가 부족하고 중간 행사가 거의 없어 관람·참여 프로그램 전반의 보강이 필요함,행사운영개선
"먹거리가 더 다양했으면 좋겠어요!
구미에서 이런 행사가 열려서 너무 좋아요.
더 잘 돼서 더 많은 가수를 부를 수 있었으면 좋겠습니다~",- 먹거리가 다양하지 않아 아쉬웠으므로 방문객의 선택권을 높이기 위해 음식 메뉴를 다양화할 필요가 있음,행사운영개선
모름,- 응답자가 '모름'이라 답해 행사에 대한 구체적인 만족도나 개선 의견을 제시하지 않음,행사경험
"물이 없다. (수도물)
커피가 없다. (6000원 비싸다)
먹거리가 약하다.
체험 예약제가 좋으나 너무 일찍 마감되어 불편하다.",- 먹을거리와 음료(수돗물·커피 등)가 부족하고 선택 폭이 좁으며 일부는 비싸서 불편했다,행사운영개선
"미디어아트 보강, 축제아이템 다양화",- 관람·체험 요소를 확충해 축제 아이템을 다양화할 필요가 있음,가족체험프로그램
"미디어아트의 다양화나 볼거리가 좀 더 늘었으면 좋겠고
가족들과 아이들이 함께 대기시간이 길지 않게
체험할 수 있는 체험부스가 늘어난다면 좀 더 즐길 수 있는 축제로 발전할 것입니다.",- 미디어아트 볼거리를 다양화하고 가족·아이들이 대기시간 없이 참여할 수 있는 체험부스를 늘려야 함,가족체험프로그램
바닥 좀 신경써주히소.,- 행사장 바닥 상태(청결 및 안전성)를 개선해 참가자들이 안전하고 쾌적하게 이용할 수 있도록 관리해 달라,행사경험
"바닥에 흙때문에 보행이 조금 불편했다.
매트를 많이 깔아주면 좋겠다.","개조식 요약:
- 바닥에 흙이 있어 보행이 불편했으니 매트 등을 추가로 깔아 이동·관람 환경을 개선해야 함",행사경험
번호표(대기표) 뽑는 시스템이 있으면 좋겠습니다. 대기줄 X,- 대기줄을 줄이기 위해 번호표(대기표) 뽑는 시스템 도입이 필요함,행사운영관리
"볼거리, 먹을거리 다양화",- 볼거리와 먹을거리를 다양화해 방문객의 선택 폭을 넓히고 만족도를 높일 필요가 있음,행사운영개선
"볼거리가 너무없다.
준비가 잘 안 된듯 하다.
퀄리티 너무 떨어짐.",- 볼거리와 프로그램이 부족하고 전반적인 준비 및 운영 퀄리티가 낮아 개선이 필요함,행사운영개선
볼거리가 더 있으면 좋겠습니다.,- 공연·전시 등 볼거리가 부족해 방문객을 위한 다양한 볼거리와 프로그램을 확대해야 함,행사운영개선
비 때매 바닥이 질퍽한 점,- 비로 인해 행사장 바닥이 질퍽해 관람과 이동이 불편했음,행사경험
"비가 온 뒤라 땅이 축축했다.
이용이 불편함. (아이동반)",- 비가 온 뒤 축축한 행사장 지면 때문에 아이를 동반한 방문객이 이용하기 불편했음,행사경험
비가 와서 의자관람이 불편했지만 프로그램은 편했습니다,- 비가 와서 의자 관람이 불편했으므로 우천 시 관람 환경과 좌석 배치 등 편의 대책이 필요함,행사운영개선
"비가 와서 조금 아쉬웠습니다.
하지만 전반적으로 좋았습니다.",- 비가 와서 아쉬웠지만 전반적으로 만족스러운 행사였음,행사경험
비가와서 실내가 많았으면..,- 비가 올 경우를 대비해 실내 공간과 실내 프로그램을 더 충분히 마련해주었으면 좋겠다,행사운영개선
"비가와서 힘들어요 ㅠ
비 피할 수 있는 천막이 필요해요 ㅠ",- 우천 시 관람객이 비를 피하고 쉴 수 있도록 충분한 천막·가림막 등 보호 공간을 마련해야 함,행사운영개선
비예보가 있는데 관객들에게 줄 비옷하나 주지 않고 안전요원들이 인상을 너무 쓰고 있어 무서웠다.,- 우천 예보에도 관객에게 비옷을 제공하지 않아 우천 대비가 미흡해 관람에 불편이 있었다,행사운영개선
비오는거 고려 부탁,- 우천을 고려해 우비·천막·임시 쉼터 등 시설과 우천 시 운영 대책 및 대체 프로그램을 마련할 필요가 있음,행사운영개선
비온 뒤 바닥 불편,- 비가 온 뒤 바닥이 젖고 미끄러워 관람·이동이 불편했음,행사운영관리
비온 뒤 바닥 불편,- 비가 온 뒤 바닥 상태가 나빠 관람 및 이동이 불편했음,행사운영관리
비올수 있는 걸 대비해서 먹거리 테이블이 잘 정리되었으면 좋겠다,- 우천 시를 대비해 먹거리 테이블의 배치와 정리를 개선해야 함,행사운영개선
비와서ㅠㅠ 앉을곳 없음,- 비가 왔을 때 앉거나 비를 피할 수 있는 좌석·휴식 공간이 부족해 불편했다,행사경험
"사전 주차 시설 공지, 길거리 휴지통 설치",- 사전 주차 시설에 대한 안내가 부족해 주차 불편이 있었으므로 행사 전에 주차 위치·규모·요금 등을 명확히 공지할 필요가 있음,주차·교통불편
"셔틀버스 탑승위치?? 홍보 목록.
주차장 안내 목록",- 셔틀버스 탑승 위치와 주차장 위치·이용 안내를 사전에 명확히 홍보해 방문객 혼란을 줄여야 함,주차·교통불편
셔틀시간 많이 늘려주세요.,- 셔틀 운행 시간을 대폭 연장해 행사 이동 편의성을 높여달라,행사운영관리
"속빈강정.
자원봉사자 및 진행요원 행사 인지 부족.
게임기 개수 부족, 대기시간 너무 김.
물푼보관함 없음.
체험개수 부족.",- 체험 프로그램과 게임기 수가 부족해 대기 시간이 길고 참여 기회가 부족했음,가족체험프로그램
솜사탕 먹을 수 있는 부스가 있으면 좋겠어요 :),- 행사장에 솜사탕을 판매하거나 제공하는 부스를 마련해 달라.,행사운영개선
순서 기다리는 것에 대한 안내 필요,- 대기 중인 순서와 진행 상황을 한눈에 알 수 있도록 명확한 대기 안내가 필요함,행사운영관리
시설 인프라를 좀 더 편리하게 하셔야겠습니다.,- 행사 시설과 인프라를 접근성과 편의성을 높이도록 개선할 필요가 있음,행사경험
실내 프로그램 개설 증진 부탁드립니다.,- 실내 프로그램을 확대 개설해 행사 참여 기회를 늘리고 날씨와 관계없이 즐길 수 있도록 해야 함,행사운영개선
"아기들 있는데 드론 축제 때 담배 피우는 사람 있었음.
체험할 곳 더 많았으면 합니다.
VR체험 한 대 더 있었으면.",- 행사장에 아기 등이 있는 곳에서 흡연이 발생해 안전과 쾌적성이 침해되므로 금연구역 지정 및 흡연 관리 강화가 필요함,행사경험
아이돌 초대가수 초청해주세요,- 다음 행사에는 아이돌 등 유명 초청 가수를 초빙해 공연을 마련해 달라,행사운영개선
아이들 놀거리 없음,- 어린이들이 즐길 수 있는 놀이·체험 프로그램이나 공간이 전혀 없어 개선이 필요함,가족체험프로그램
"아이들 참여 놀이가 더 많았으면 좋겠어요.
앉아서 쉴 곳도 더 있으면 좋겠어요.",- 아이들이 직접 참여할 수 있는 놀이·체험 프로그램을 늘려 가족 단위 관람객의 만족도를 높여야 함,가족체험프로그램
아이들 체험이 더 다양했으면,- 어린이용 체험 프로그램이 부족하니 다양한 연령대와 관심을 반영한 체험 제공을 확대해야 함,가족체험프로그램
"아이들과 체험 행사가 많이 있음 좋겠다.
먹거리가 저렴하면 더 좋을거 같다.
기념품 증정이 있음 좋겠다.",- 가족 단위 관람객을 위해 아이들이 참여할 수 있는 체험 프로그램을 확대할 필요가 있음,가족체험프로그램
아이들의 무료 체험이 다양했으면 합니다.,- 아이들이 참여할 수 있는 무료 체험 프로그램 종류를 다양하게 확대할 필요가 있음,가족체험프로그램
아이들이 참여할 수 있는 부스체험이 많았으면 좋겠습니다.,- 아이들이 직접 참여할 수 있는 체험형 부스의 수와 다양성을 늘려야 함,가족체험프로그램
아이들이(미취학) 참여할 수 있는 프로그램이 많았으면 좋겠어요.,- 미취학 아동이 안전하고 즐겁게 참여할 수 있는 프로그램을 더 확대해 어린이 관객의 참여 기회를 늘려야 함,가족체험프로그램
아직 뭔가 부조화 된 느낌입니다.,- 프로그램과 운영 등 구성 요소들 간 조화가 부족해 행사 전체의 완성도가 떨어졌다.,행사운영관리
안내표(?)가 너무 복잡해서 한눈에 안들어옴,- 안내 표지판이 복잡해 한눈에 파악되지 않으므로 표시를 더 간단하고 직관적으로 개선할 필요가 있음,행사운영관리
애들을 위한 공간이 더 마련되길 바래요,- 어린이가 안전하게 놀고 쉴 수 있는 전용 공간을 더 늘려야 함,행사경험
예약제가 아닌 선착순 참여로 진행되었으면함. 아이들이 즐길거리가 부족함,- 아이들이 즐길 거리가 부족해 가족 단위 관람을 위한 어린이 프로그램과 체험거리를 확대할 필요가 있음,가족체험프로그램
"예약제인 경우 전달이 되지 않아 줄을 서서 긴 시간 기다렸으나, 예약하지 않아 이용이 불가능하였다. 
안내가 필요하다.",- 예약제가 사전에 제대로 안내되지 않아 긴 시간 줄을 섰음에도 이용할 수 없었으니 예약제 운영에 대한 명확한 사전 공지와 안내가 필요함,행사운영관리
우천 시 피할 곳이 부족,- 우천 시 피할 수 있는 대피·휴게 공간이 부족해 방문객이 비에 노출되기 쉬웠음,행사운영개선
"우천대비 우비제공,
휴식공간 추가필요",- 관람객을 위해 쉴 수 있는 휴식공간을 추가로 마련해야 함,행사운영개선
"우천시 관람객 안내 혹은 우비 나눔, 우산대여",- 우천 시 관람객을 위해 안내체계와 우비 제공·우산 대여 등 실질적인 대비책을 마련해야 함,행사운영개선
우천시 대비가 좀 더 되었으면 좋겠음. ,- 우천 상황에 대한 대비가 부족해 비가 올 경우 관람·참여에 불편이 생기므로 우천 대비책을 강화해야 함,행사운영개선
우천시 바닥 물기 없도록 시설 추가 요망,- 우천 시 관람·이동 중 바닥에 물기가 생기지 않도록 방수·배수 설비나 가림막 등 적절한 시설을 추가해 개선할 필요가 있음,행사운영개선
"우천시 비올때를 대비해 프로그램 개설과 
예약프로그램이 없어지면 좋겠다.",- 우천 시에도 행사를 즐길 수 있도록 비·우천 대응 프로그램을 별도로 마련해 달라,행사운영개선
"우천시에 대응이 조금 더 원활했으면 좋았을 것 같다.
시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다.",- 우천 시에도 행사가 진행되었으나 진행요원들의 대처가 원활하지 않아 비상 대응과 안내·운영 절차를 개선해야 함,행사운영관리
위치 주차시설,- 행사 위치와 주차 시설이 불편해 접근성이 떨어졌음,주차·교통불편
음료푸드트럭도 같이 있었으면 좋겠다. 체험 및 기타 즐길거리가 더 다양했으면 좋겠다,- 음료·푸드트럭 등 먹거리 제공과 체험 및 기타 즐길거리의 다양성을 확대할 필요가 있음,행사운영개선
음식이 더 많으면 좋겠다,- 행사에 먹거리 종류와 판매 부스가 부족하니 다양한 음식과 판매처를 확대해야 한다,행사운영개선
"의무실, 수유실 필요합니다.",- 행사에 의무실과 수유실 등 기본 편의·안전 시설을 설치해 관람객 안전과 육아 지원을 강화할 필요가 있음,행사경험
"이번에는 추석연휴에 행사를 했는데, 토요일, 일요일 해도 좋을듯하다.
체험하는데 오랜시간을 기다려야 했다.
제6링고??의 한자 과학 체험이 제일 좋았다.
자기가 득점한 점수도 볼 수 있고 간만에 도파민이 셈 솟았다.",- 체험 프로그램 참여 시 오랜 대기 시간이 발생해 불편했으므로 대기 관리·운영 개선이 필요함,행사운영관리
자리가 더 많음 좋겠습니다,- 행사장에 관람·휴식용 좌석이 부족하니 좌석 수를 확충해 관람·대기 편의를 개선할 필요가 있음,행사경험
"자세한 안내문 필요.
다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.",- 가수 초청이나 다양한 체험 위주보다 예술공연을 더 많이 구성해주길 원함,가족체험프로그램
작년 대비 좋아졌어요.,- 작년 행사에 비해 전반적으로 개선되어 만족스러웠음,행사경험
장소가 좀 더 넓고 교통편이 편한곳이면 좋겠어요.,- 행사 장소를 더 넓고 대중교통·주차 등 접근성이 좋은 곳으로 옮겨 참가자 편의를 개선해야 함,행사경험
"장소를 더 잘 꾸며주세요.
먹거리 부문이 좀 아쉬워요.",- 행사장 꾸밈(환경·시설)을 개선해 방문자가 더 쾌적하고 즐겁게 행사에 참여할 수 있도록 해달라,행사경험
"장소협소하고
프로그램 예약이 시간이 짧아요 (너무 어렵다)",- 프로그램 예약 시간이 짧아 예약 과정이 어렵고 참여에 불편함이 컸음,행사운영관리
접근성 및 장애인 활동 어려움,- 장애인을 위한 접근성 및 활동 지원이 부족해 행사 참여에 어려움이 있었음,행사경험
조금 더 다양하고 저렴한 푸드,- 푸드 종류를 더 다양하게 구성하고 가격을 낮춰 방문객의 먹거리 선택 폭과 만족도를 높여야 함,행사운영개선
"조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.
파이팅!",- 다양한 즐길거리와 행사 주제에 맞는 전시를 더 늘려 방문자에게 선택폭과 볼거리를 확대할 필요가 있음,행사운영개선
조금 더 다양했으면,- 행사 콘텐츠의 다양성이 부족해 프로그램·체험·볼거리 등을 더 다양화할 필요가 있다,가족체험프로그램
조금만 더 다양해지면 좋을 것 같습니다,- 행사 구성(프로그램·체험·볼거리 등)의 다양성이 부족하니 더 다양한 콘텐츠와 참여 기회를 제공할 필요가 있음,가족체험프로그램
좀 더 넓은 장소에서 했으면 함.,- 행사 장소가 좁아 관람과 이동이 불편했으니 보다 여유 있는 더 넓은 공간에서 개최해 주었으면 좋겠다,행사경험
좀 더 아이들이 참여할 수 있는 행사 요청,- 아이들이 직접 참여하고 즐길 수 있는 체험형 프로그램을 더 많이 도입해 달라,가족체험프로그램
좀 더 적극적인 홍보가 필요합니다.,- 행사 참여율과 인지도를 높이기 위해 보다 적극적이고 체계적인 홍보가 필요함,행사운영개선
좀 더 체험이 다양하면 좋겠습니다,- 체험 프로그램 종류가 부족하니 보다 다양한 체험 활동을 마련해 참가자의 선택 폭을 넓혀야 함,가족체험프로그램
좋았어요♥,- 전반적으로 만족스러운 행사였음,행사경험
좋은 축제 감사합니다.,- 전반적으로 만족스러웠고 즐겁게 참여할 수 있는 좋은 축제였음,행사경험
"주차 문제, 쉴 공간",- 주차 공간이 부족해 행사 방문과 이동이 불편했음,주차·교통불편
주차(임산부라 멀리 주차해서 힘들었음),- 임산부 등 교통약자를 위한 가까운 우선 주차 공간이 부족해 행사장까지 이동하는 데 불편함이 있었다,주차·교통불편
"주차, 주차안내요원",- 주차 공간과 주차 안내요원 배치가 미흡해 주차 관리 및 안내 체계 개선이 필요함,주차·교통불편
주차공간,- 주차공간이 부족해 행사 방문 및 이용에 불편이 있었으니 주차 대책 마련이 필요함,주차·교통불편
주차공간,- 주차공간이 부족해 행사장 접근과 이용에 불편이 있었음,주차·교통불편
주차공간 미흡,- 주차공간이 부족해 행사장 접근과 이용이 불편했음,주차·교통불편
주차공간 확보,- 주차공간이 부족해 방문객 편의를 위해 충분한 주차시설을 확보할 필요가 있음,주차·교통불편
주차공간마련,- 주차공간이 부족하니 관람객을 위한 주차시설을 마련할 필요가 있음,주차·교통불편
주차불편,- 주차 공간 부족과 안내 부재로 행사장 주차가 매우 불편했음,주차·교통불편
주차시설,- 주차시설이 부족하거나 불편해 행사 접근성과 이용 편의성을 개선할 필요가 있음,주차·교통불편
주차시설 부족,- 주차시설이 부족해 행사장 접근이 불편했으므로 주차 공간 확대나 교통대책이 필요함,주차·교통불편
주차시설 확보,- 방문객들이 편리하게 이용할 수 있도록 행사장 주변에 충분한 주차시설을 확보할 필요가 있음,주차·교통불편
주차안내 및 주변 공장과의 협의,- 주차 안내를 강화하고 행사 전 주변 공장과 사전 협의를 통해 교통·주차 문제를 사전 해결할 필요가 있음,주차·교통불편
주차자리부족,- 주차 공간이 부족하여 방문객의 차량 이용과 행사 접근에 어려움이 있었음,주차·교통불편
주차장,- 행사 주차장이 부족하고 접근이 불편해 주차 공간 확대 및 안내 개선이 필요함,주차·교통불편
주차장,- 주차장이 부족하거나 안내가 미흡해 행사장 접근과 주차에 불편이 컸음,주차·교통불편
주차장 안내 미흡,- 주차장 안내가 부족해 행사 방문 시 주차 위치 확인과 이동 동선이 불편했음,주차·교통불편
주차장 안내 미흡,- 주차장 안내가 미흡해 방문객들이 주차에 불편을 겪음,주차·교통불편
"주차장 안내가 부족했음.
없으면 안내라도 미리 고지했으면 좋겠음.",- 주차장 안내가 부족했으니 주차 가능 여부가 없을 경우에도 사전에 명확히 공지해 달라,주차·교통불편
주차장 확보,- 주차 공간이 부족해 행사 운영을 위해 충분한 주차장 확보가 필요함,주차·교통불편
주차장 확보 했으면 합니다.,- 관람객의 편의를 위해 행사장 주변에 주차 공간을 확보하거나 주차 대책을 마련할 필요가 있음,주차·교통불편
주차장을 더 많이 해주셨음 좋겠습니다.,- 주차장이 부족해 불편했으니 행사 시 주차 공간을 확대하거나 추가 주차 대책을 마련해 달라.,주차·교통불편
주차장을 많이 넓혀주셨음 좋겠어요,- 주차 공간이 부족하니 주차장을 대폭 확충해 주었으면 합니다.,주차·교통불편
주차장이 불편해요.,- 주차장이 불편해 주차 시설과 운영 전반에 대한 개선이 필요함,주차·교통불편
주차장이 없어서 주차하는데 불편함을 겪었다.,- 주차장이 없어 방문객들이 주차에 큰 불편을 겪어 주차 공간 확충 등 개선이 필요함,주차·교통불편
줄서기 시간이 다소 김,- 줄서기 시간이 다소 길어 행사 이용에 불편함이 있었다,행사운영관리
줄서는 대기시간이 오래걸림. 주차장 확보 시급.,- 대기 시간이 길어 관람·참여에 불편이 있었으니 줄 관리 및 대기 시간 단축 방안을 마련해야 함,행사운영관리
지속적으로,- 행사를 지속적으로 개최해 참여 기회를 꾸준히 제공해 주었으면 함,행사경험
"진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)",- 행사장 바닥이 진흙투성이여서 이동이 불편하고 신발·옷이 훼손되어 개선이 필요함,행사경험
차량 이동 관련 주차장을 더 만들어 주세요.,- 차량 이용 관객 편의를 위해 행사장 주변에 주차 공간을 추가로 확충할 필요가 있다.,주차·교통불편
체험 놀이를 더 보충해주세요.,- 체험 놀이가 부족하니 다양한 체험 프로그램을 확대해 참여 기회를 늘려 달라,가족체험프로그램
체험 부스 다양화. 눈으로도 응원합니다 ^^,- 체험 부스가 부족하므로 다양한 체험 부스를 확충해 관람객의 참여 기회를 늘려야 함,가족체험프로그램
체험 행사 및 먹거리가 좀 더 늘었으면 좋겠어요,- 체험 프로그램과 먹거리 종류를 늘려 참가자들이 더 다양한 체험을 하고 편리하게 이용할 수 있도록 개선해야 함,가족체험프로그램
체험부스가 더 많았으면 좋겠음.,- 체험부스 수를 늘려 방문객의 참여 기회를 확대할 필요가 있음,가족체험프로그램
체험부스가 더 있었으면 좋겠다.,- 체험부스가 부족해 참여 기회가 제한되었으니 체험부스를 확대해야 함,가족체험프로그램
"체험부스당 인원수가 매우 부족하다 느낌.
13시 30분에 왔는데도 2부(17:00) 이후부터 예약이 가능하다 하여 체험할 수 없어 아쉬웠음.",- 체험부스 수용 인원이 부족해 예약이 빠르게 마감되어 원하는 시간대에 체험할 수 없었음,행사운영관리
체험부스를 더 크게 만들어 줬으면 합니다.,- 체험부스를 확대해 부스 공간과 수용 인원을 늘려 더 편하게 참여할 수 있도록 개선해 달라,가족체험프로그램
체험프로그램의 다양성,- 체험프로그램의 종류를 늘려 다양한 관객층이 참여할 수 있도록 개선할 필요가 있음,가족체험프로그램
체험프로그램이 더 생겼으면 좋겠음,- 체험 프로그램이 부족하니 참가자들이 더 즐길 수 있도록 체험 프로그램을 다양하게 확대할 필요가 있음,가족체험프로그램
체험프로그램이 조금 더 다양하게 많았으면 좋겠어요,- 체험 프로그램의 종류와 수를 늘려 참가자에게 더 다양한 선택 기회를 제공할 필요가 있음,가족체험프로그램
축제 홍보가 더 필요할 것 같다,- 축제 홍보가 부족하므로 관람객 유치와 인지도 향상을 위해 홍보를 강화할 필요가 있음,행사운영개선
"축제는 아이들이 즐길거리가 많아야 흥합니다.
컨셉이 애매해요. 응원함.
큰 투자는 많아보이는데 컨텐츠가 적어요.",- 행사 컨셉이 애매하고 전반적인 콘텐츠가 부족해 특히 아이들이 즐길거리를 더 확충할 필요가 있음,행사경험
"취지는 좋으나, 조금 더 발전이 필요해보임.",- 행사의 취지는 좋았으나 프로그램 구성과 운영 등 전반적인 부분에서 추가적인 발전과 개선이 필요하다.,행사경험
